match_id,league_id,season,date,home_team_id,away_team_id,home_score,away_score,status,referee,venue,bookmaker,home_odds,draw_odds,away_odds,event_date,home_team_name,away_team_name,player_id,team_id,name,age,nationality,position,height,weight,appearances,goals,assists,yellow_cards,red_cards,country,founded,logo,venue_name,venue_address,venue_city,venue_capacity
831349,113.0,2022.0,2022-07-16,364.0,2163.0,5.0,0.0,FT,G. Nyberg,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831350,113.0,2022.0,2022-07-17,363.0,372.0,3.0,0.0,FT,V. Wolf,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831351,113.0,2022.0,2022-07-17,366.0,2240.0,1.0,1.0,FT,J. Östling,Gamla Ullevi,,,,,,,,,,,,,,,,,,,,,,,,,,,
831352,113.0,2022.0,2022-07-16,378.0,375.0,0.0,2.0,FT,M. Al Hakim,PlatinumCars Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831353,113.0,2022.0,2022-07-17,370.0,2172.0,2.0,0.0,FT,F. Klitte,Studenternas IP,,,,,,,,,,,,,,,,,,,,,,,,,,,
831354,113.0,2022.0,2022-07-18,373.0,367.0,1.0,5.0,FT,K. Karlsson,NP3 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831355,113.0,2022.0,2022-07-18,2171.0,811.0,0.0,0.0,FT,B. Pandzic,Varberg Energi Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831356,113.0,2022.0,2022-07-24,367.0,364.0,1.0,2.0,FT,A. Ekberg,Bravida Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831357,113.0,2022.0,2022-07-24,811.0,373.0,1.0,0.0,FT,B. Pandzic,Olympia,,,,,,,,,,,,,,,,,,,,,,,,,,,
831358,113.0,2022.0,2022-07-25,378.0,366.0,0.0,2.0,FT,K. Sjöberg,PlatinumCars Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831359,113.0,2022.0,2022-07-24,2163.0,377.0,2.0,3.0,FT,J. Östling,Finnvedsvallen,,,,,,,,,,,,,,,,,,,,,,,,,,,
831360,113.0,2022.0,2022-07-24,374.0,372.0,1.0,0.0,FT,F. Klitte,Guldfågeln Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831361,113.0,2022.0,2022-07-23,375.0,370.0,3.0,1.0,FT,G. Maqedonci,Eleda Stadion,,,,,,,,,,,,,,,,,,,,,,,,,,,
831362,113.0,2022.0,2022-07-23,2240.0,2172.0,2.0,1.0,FT,A. Ladebäck,Strandvallen,,,,,,,,,,,,,,,,,,,,,,,,,,,
831363,113.0,2022.0,2022-07-25,2171.0,363.0,0.0,3.0,FT,M. Al Hakim,Varberg Energi Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831364,113.0,2022.0,2022-05-11,377.0,375.0,2.0,0.0,FT,G. Nyberg,Friends Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831365,113.0,2022.0,2022-07-30,2172.0,374.0,2.0,1.0,FT,G. Nyberg,Stora Valla,,,,,,,,,,,,,,,,,,,,,,,,,,,
831366,113.0,2022.0,2022-05-05,364.0,811.0,2.0,2.0,FT,A. Ladebäck,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831367,113.0,2022.0,2022-07-31,363.0,2163.0,1.0,2.0,FT,K. Karlsson,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831368,113.0,2022.0,2022-07-31,372.0,367.0,4.0,4.0,FT,M. Al Hakim,Borås Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831369,113.0,2022.0,2022-08-01,366.0,378.0,2.0,0.0,FT,V. Wolf,Gamla Ullevi,,,,,,,,,,,,,,,,,,,,,,,,,,,
831370,113.0,2022.0,2022-07-31,370.0,2240.0,0.0,1.0,FT,K. Sjöberg,Studenternas IP,,,,,,,,,,,,,,,,,,,,,,,,,,,
831371,113.0,2022.0,2022-07-30,373.0,2171.0,1.0,3.0,FT,F. Klitte,NP3 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831372,113.0,2022.0,2022-08-08,367.0,811.0,5.0,0.0,FT,J. Östling,Bravida Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831373,113.0,2022.0,2022-08-07,363.0,373.0,3.0,0.0,FT,G. Nyberg,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831374,113.0,2022.0,2022-08-06,378.0,2172.0,2.0,0.0,FT,G. Maqedonci,PlatinumCars Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831375,113.0,2022.0,2022-08-07,2163.0,364.0,0.0,0.0,FT,M. Al Hakim,Finnvedsvallen,,,,,,,,,,,,,,,,,,,,,,,,,,,
831376,113.0,2022.0,2022-08-07,370.0,375.0,2.0,1.0,FT,B. Pandzic,Studenternas IP,,,,,,,,,,,,,,,,,,,,,,,,,,,
831377,113.0,2022.0,2022-08-07,374.0,377.0,1.0,0.0,FT,A. Ekberg,Guldfågeln Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831378,113.0,2022.0,2022-08-07,2240.0,372.0,1.0,1.0,FT,K. Karlsson,Strandvallen,,,,,,,,,,,,,,,,,,,,,,,,,,,
831379,113.0,2022.0,2022-08-08,2171.0,366.0,0.0,4.0,FT,A. Ladebäck,Varberg Energi Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831380,113.0,2022.0,2022-08-14,377.0,2163.0,2.0,2.0,FT,K. Sjöberg,Friends Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831381,113.0,2022.0,2022-08-15,367.0,2240.0,1.0,0.0,FT,G. Maqedonci,Bravida Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831382,113.0,2022.0,2022-08-14,2172.0,2171.0,1.0,1.0,FT,J. Östling,Stora Valla,,,,,,,,,,,,,,,,,,,,,,,,,,,
831383,113.0,2022.0,2022-08-14,364.0,374.0,3.0,2.0,FT,F. Klitte,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831384,113.0,2022.0,2022-08-13,811.0,370.0,0.0,0.0,FT,V. Wolf,Olympia,,,,,,,,,,,,,,,,,,,,,,,,,,,
831385,113.0,2022.0,2022-08-14,372.0,378.0,1.0,1.0,FT,A. Ekberg,Borås Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831386,113.0,2022.0,2022-08-15,366.0,363.0,0.0,1.0,FT,M. Al Hakim,Gamla Ullevi,,,,,,,,,,,,,,,,,,,,,,,,,,,
831387,113.0,2022.0,2022-08-14,375.0,373.0,3.0,1.0,FT,A. Ladebäck,Eleda Stadion,,,,,,,,,,,,,,,,,,,,,,,,,,,
831388,113.0,2022.0,2022-08-22,363.0,2172.0,5.0,1.0,FT,B. Pandzic,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831389,113.0,2022.0,2022-08-21,378.0,377.0,2.0,4.0,FT,K. Karlsson,PlatinumCars Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831390,113.0,2022.0,2022-08-21,2163.0,372.0,1.0,1.0,FT,R. Sundell,Finnvedsvallen,,,,,,,,,,,,,,,,,,,,,,,,,,,
831391,113.0,2022.0,2022-08-22,370.0,367.0,0.0,1.0,FT,A. Ladebäck,Studenternas IP,,,,,,,,,,,,,,,,,,,,,,,,,,,
831392,113.0,2022.0,2022-08-22,374.0,366.0,1.0,0.0,FT,G. Nyberg,Guldfågeln Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831393,113.0,2022.0,2022-08-21,2240.0,375.0,1.0,1.0,FT,F. Klitte,Strandvallen,,,,,,,,,,,,,,,,,,,,,,,,,,,
831394,113.0,2022.0,2022-08-21,373.0,811.0,1.0,2.0,FT,K. Sjöberg,NP3 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
